id,name,district,region,ig_address,game_x,game_y,real_life,real_lat,real_lng,tags,ingame_photo,reallife_photo
L1,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1409.40126306379,2803.2135475894142,"The Ritz-Carlton Bal Harbour, 10295 Collins Ave, Bal Harbour, FL 33154, USA",25.898996,-80.1232991,l1 hotel,landmarks/Vice_Beach/L1_unnamed_ingame.jpg,landmarks/Vice_Beach/L1_unnamed_reallife.jpg
L2,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1491.644642010651,2633.3023385608108,"Akoya Condominium, 6365 Collins Ave, Miami Beach, FL 33141, USA",25.8460686,-80.11969669999999,residential,landmarks/Vice_Beach/L2_unnamed_ingame.jpg,landmarks/Vice_Beach/L2_unnamed_reallife.jpg
L3,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1541.925,2562.866,"Sherry Frontenac Oceanfront Hotel, 6565 Collins Ave, Miami Beach, FL 33141, USA",25.8492902,-80.1200515,hotel,landmarks/Vice_Beach/L3_unnamed_ingame.jpg,landmarks/Vice_Beach/L3_unnamed_reallife.jpg
L4,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1626.759997019858,2512.7550249217966,"Jade Ocean Condos, 17121 Collins Ave, Sunny Isles Beach, FL 33160, USA",25.9343413,-80.1210169,residential,landmarks/Vice_Beach/L4_unnamed_ingame.jpg,landmarks/Vice_Beach/L4_unnamed_reallife.jpg
L5,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1673.9352770143546,2402.7617365126403,"Maison Grande Condominium, 6039 Collins Ave, Miami Beach, FL 33140, USA",25.8430694,-80.1204528,residential,landmarks/Vice_Beach/L5_unnamed_ingame.jpg,landmarks/Vice_Beach/L5_unnamed_reallife.jpg
L6,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1720.9472792155304,2199.0019649925734,"The Bath Club, 5937 Collins Ave, Miami Beach, FL 33140, USA",25.8414441,-80.1211879,hotel,landmarks/Vice_Beach/L6_unnamed_ingame.jpg,landmarks/Vice_Beach/L6_unnamed_reallife.jpg
L7,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1771.6250105104211,2167.415798523127,"MEI Condominium, 5875 Collins Ave, Miami Beach, FL 33140, USA",25.8408333,-80.1205556,residential,landmarks/Vice_Beach/L7_unnamed_ingame.jpg,landmarks/Vice_Beach/L7_unnamed_reallife.jpg
L8,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1808.2404872498184,2127.7063926732812,"Green Diamond, 4775 Collins Ave, Miami Beach, FL 33140, USA",25.822683,-80.1215727,residential,landmarks/Vice_Beach/L8_unnamed_ingame.jpg,landmarks/Vice_Beach/L8_unnamed_reallife.jpg
L9,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1871.8848643739557,2057.0075774474344,"Blue Diamond, 4779 Collins Ave, Miami Beach, FL 33140, USA",25.8233175,-80.1215857,residential,landmarks/Vice_Beach/L9_unnamed_ingame.jpg,landmarks/Vice_Beach/L9_unnamed_reallife.jpg
L10,?,Washington Beach,Vice Beach,"?, Washington Beach, Vice Beach",1890.3918876840426,1932.4861301214287,"Trésor Tower, 4401 Collins Ave, Miami Beach, FL 33140, USA",25.8165156,-80.1229681,residential,landmarks/Vice_Beach/L10_unnamed_ingame.jpg,landmarks/Vice_Beach/L10_unnamed_reallife.jpg
